"celex","date","dateforce","dateendvalid","lbs","lbcelex","lbsuffix","force","datetranspos"
"32001L0096","2001-12-04","2002-02-05","9999-12-31","c2d31e4d-64f9-4020-87d0-17fefed0e0ae","11997E080","P2","true",NA
"32009L0156","2009-11-30","2010-08-12","2021-04-20","446b2d8f-4f90-4c19-94c3-e8f0947a2593","12006E037",NA,"false",NA
"31978L0613","1978-06-23","1978-06-27","1985-07-10","de2f6bfa-e0e7-4383-af1f-3406fa00a4f1","31970L0524","A06","false",NA
"31986L0457","1986-09-15",NA,"1993-04-15","dc576cb4-5040-42c2-837e-c6f19c43d6c4","11957E057",NA,"false","1995-01-01"
"31992L0115","1992-12-17","1992-12-31","2006-06-25","d23b6afa-edbb-4228-be51-0abfde1a6b7e","11957E149","P2","false","1993-07-01"
"32000L0064","2000-11-07","2000-11-17","2012-11-01","9f23e4cd-4b31-4cdf-a6b6-a88bd4bb3b22","11997E047","P2FR3","false","2002-11-17"
"32005L0044","2005-09-07","2005-10-20","9999-12-31","6605ff4a-754d-4d10-bc74-9499a44ae68d","12002E251",NA,"true","2007-10-20"
"32011L0087","2011-11-16","2011-12-08","2015-12-31","94bc087a-00f3-4733-bc23-0b3e1f99704e","12010E114",NA,"false","2012-12-09"
"32011L0064","2011-06-21","2011-01-01","9999-12-31","f033e347-093c-4417-a275-10141d317410","12010E113",NA,"true","1992-12-31"
"31984L0004","1983-12-20","1983-12-20","2009-08-25","56fe7d25-5f54-48a1-95e2-6008425b8a4d","31970L0373","A02","false","1984-06-01"
"31997L0010","1997-02-26","1997-03-28","2009-05-31","70b23758-ad3c-4dfc-9085-8b209fdfa6e8","31976L0769","A02BIS","false","1998-06-30"
"31999L0077","1999-07-26","1999-08-26","2009-05-31","70b23758-ad3c-4dfc-9085-8b209fdfa6e8","31976L0769","A02BIS","false","2005-01-01"
"31968L0156","1968-03-12","1968-03-15","1968-06-30","7e0a743d-56c7-441e-9cc5-e2017fbadb1b","11957E013","P02","false","1968-06-30"
"31964L0427","1964-07-07","1964-07-09","1999-07-30","d4b0fa07-500a-4196-afc5-43547911a9e2","11957E063","P2","false","1973-07-01"
"31990L0490","1990-09-25","1990-09-26","2000-07-29","614e9335-f623-406c-987c-c5924e385170","31977L0093","A13P2L4","false","1991-01-01"
"32017L0845","2017-05-17","2017-06-07","9999-12-31","6a6b2a43-24c4-47b6-a602-40ca8c461a82","32008L0056","A24P1","true","2018-12-07"
"32005L0018","2005-03-02","2005-03-05","2008-07-22","97ebdf59-5b83-4403-a0ad-d0d31b1045c0","32000L0029","A02P1PTH)L1","false","2005-05-14"
"31971L0261","1971-06-30","1971-07-02","1987-01-01","8515b295-6207-4a57-805e-236a24d8fcd9","31969L0073","A28","false","1971-10-01"
"31978L0663","1978-07-25","1978-07-31","2010-01-20","dc562ec4-3372-4a52-b2dd-6236691cf299","31974L0329","A07P1","false","1980-01-31"
"31983L0416","1983-07-25","1983-07-29","1990-11-01","e1da8614-4bbc-4bbb-810b-25f4ca287ce0","11957E084","P2","false","1984-10-01"
