"celex","date"
"31983R2505","1983-09-08"
"31996R0233","1996-02-07"
"31999R0265","1999-02-04"
"31991R0417","1991-02-22"
"31985R0868","1985-03-26"
"31978R1603","1978-07-07"
"31988R3995","1988-12-21"
"31975R1792","1975-07-12"
"31973R0872","1973-03-30"
"32001R1842","2001-09-19"
"32007R0502","2007-05-08"
"31976R3114","1976-12-21"
"31997R2018","1997-10-15"
"31992R1324","1992-05-23"
"31984R3147","1984-11-13"
"31986R1020","1986-04-09"
"31997R0086","1997-01-20"
"32000R0138","2000-01-20"
"32009R0916","2009-09-29"
"31983R0620","1983-03-18"
"31972R0692","1972-04-06"
"31966R0189","1966-11-24"
"32007R1316","2007-11-08"
"31964R0175","1964-11-10"
"31976R2331","1976-09-27"
"31992R0789","1992-04-01"
"31987R0998","1987-04-08"
"31992R2947","1992-10-13"
"31982R2775","1982-10-19"
"31986R0615","1986-02-28"
"31997R0682","1997-04-17"
"31966R0059","1966-06-03"
"31989R3010","1989-10-06"
